crn_number,subject,course_number,title,cred_number,typekey,days,times,lockey_number,lockey,instructor,seats_number,totenrl_number
11177,MUS,250.101,YC Chorale,1,LEC,M W F,01:00PM- 01:50PM,114,WOLF 114,Muzzo G,60,43
11183,MUS,252.101,Chamber Singers,1,LEC,M W F,02:00PM- 02:50PM,114,WOLF 114,Muzzo G,20,0
11188,MUS,254.101,Opera/Musc Theatr,1,LEC,T R,02:00PM- 03:15PM,204,WOLF 204,Lippard E,25,0
11193,MUS,258.801,YC Women's Ensemble,1,LEC,W,06:30PM- 09:15PM,114,WOLF 114,Kates C,20,9
11199,MUS,260.101,Wind Symphony,1,LEC,M W,03:00PM- 04:15PM,114,WOLF 114,Colonna J,40,40
11204,MUS,262.101,Jazz Ensemble,1,LEC,T R,03:30PM- 04:45PM,114,WOLF 114,Stabley J,25,13
11208,MUS,264.801,Community Orchestra,1,LEC,T,06:30PM- 09:15PM,114,WOLF 114,Levi Z,20,19
11212,MUS,272.101,Percussion Ensemble,1,LEC,T R,02:00PM- 03:15PM,114,WOLF 114,Stabley J,15,15
11216,MUS,272.102,Percussion Ensemble,1,LEC,TO BE ARRANGED,TO BE ARRANGED,101,WOLF 101A,Godbole M,15,6
11221,MUS,276.101,Guitar Ensemble,1,LEC,TO BE ARRANGED,TO BE ARRANGED,325,WOLF 325,Fogleman M,15,13
11224,MUS,278.801,Rock Band,1,LEC,M,05:00PM- 06:15PM,112,WOLF 112,Young S,15,14
11243,MUS,281.101,World Music,3,LEC,M W,03:00PM- 04:15PM,104,WOLF 104,Protopapas J,25,15
11244,MUS,283.101,Music Theory IV,3,LEC,M W F,12:00PM- 12:50PM,104,WOLF 104,Osowski K,15,1
11245,MUS,285.101,Aural Skills IV,1,LEC,T R,11:00AM- 12:15PM,100,WOLF 100,Dekker-Elicker G,15,6
11246,MUS,286.101,Jazz History,3,LEC,T R,11:00AM- 12:15PM,114,WOLF 114,Stabley J,25,13
11247,MUS,287.101,American Pop Music,3,LEC,M W F,10:00AM- 10:50AM,312,WOLF 312,Young S,25,19
11248,MUS,288.101,History Rock/Roll,3,LEC,M W F,11:00AM- 11:50AM,302,WOLF 302,Young S,25,2
11249,MUS,288.102,History Rock/Roll,3,LEC,M W,05:00PM- 06:15PM,100,WOLF 100,Knisely C,25,23
11250,MUS,290.101,Intro Music Lit,3,LEC,T R,09:30AM- 10:45AM,114,WOLF 114,Lippard E,25,14
11251,MUS,294.101,Woodwind Methods,1,LEC,T R,03:30PM- 04:45PM,104,WOLF 104,Loy S,15,7
11252,MUS,296.101,Hist Music Theatre,3,LEC,T R,12:30PM- 01:45PM,236,CH 236,Woodfield R,25,15
11253,MUS,297.101,Survey Music Industry,3,LEC,M W F,12:00PM- 12:50PM,302,WOLF 302,Young S,25,0
11254,MUS,298.801,Forgn Lang Diction,1,LEC,T,05:00PM- 06:15PM,104,WOLF 104,Woodfield R,15,2
11255,MUS,299.101,Mus/Cult since 1900,3,LEC,T R,02:00PM- 03:15PM,100,WOLF 100,Osowski K,25,17
11179,MUS,350.101,YC Chorale,1,LEC,M W F,01:00PM- 01:50PM,114,WOLF 114,Muzzo G,60,35
11184,MUS,352.101,Chamber Singers,1,LEC,M W F,02:00PM- 02:50PM,114,WOLF 114,Muzzo G,20,14
11189,MUS,354.101,Opera/Musc Theatr,1,LEC,T R,02:00PM- 03:15PM,204,WOLF 204,Lippard E,25,6
11194,MUS,358.801,YC Women's Ensemble,1,LEC,W,06:30PM- 09:15PM,114,WOLF 114,Kates C,20,20
11201,MUS,360.101,Wind Symphony,1,LEC,M W,03:00PM- 04:15PM,114,WOLF 114,Colonna J,40,1
11205,MUS,362.101,Jazz Ensemble,1,LEC,T R,03:30PM- 04:45PM,114,WOLF 114,Stabley J,25,4
11209,MUS,364.801,Community Orchestra,1,LEC,T,06:30PM- 09:15PM,114,WOLF 114,Levi Z,20,13
11213,MUS,372.101,Percussion Ensemble,1,LEC,T R,02:00PM- 03:15PM,114,WOLF 114,Stabley J,15,4
11217,MUS,372.102,Percussion Ensemble,1,LEC,TO BE ARRANGED,TO BE ARRANGED,101,WOLF 101A,Godbole M,15,4
11220,MUS,376.101,Guitar Ensemble,1,LEC,TO BE ARRANGED,TO BE ARRANGED,325,WOLF 325,Fogleman M,15,11
11225,MUS,378.801,Rock Band,1,LEC,M,05:00PM- 06:15PM,112,WOLF 112,Young S,15,12
11256,MUS,390.101,Music History I,3,LEC,T R,12:30PM- 01:45PM,104,WOLF 104,Dekker-Elicker G,25,2
11460,MUS,392.101,Tchng Musc Elem Sch,3,LEC,T R,02:00PM- 03:15PM,104,WOLF 104,Muzzo G,25,1
11257,MUS,446.801,Music Production II,3,LEC,M,06:30PM- 09:15PM,112,WOLF 112,Cresci J,25,12
11180,MUS,450.101,YC Chorale,1,LEC,M W F,01:00PM- 01:50PM,114,WOLF 114,Muzzo G,60,18
11185,MUS,452.101,Chamber Singers,1,LEC,M W F,02:00PM- 02:50PM,114,WOLF 114,Muzzo G,20,12
11190,MUS,454.101,Opera/Musc Theatr,1,LEC,T R,02:00PM- 03:15PM,204,WOLF 204,Lippard E,25,14
11196,MUS,458.801,YC Women's Ensemble,1,LEC,W,06:30PM- 09:15PM,114,WOLF 114,Kates C,20,16
11202,MUS,460.101,Wind Symphony,1,LEC,M W,03:00PM- 04:15PM,114,WOLF 114,Colonna J,40,28
11206,MUS,462.101,Jazz Ensemble,1,LEC,T R,03:30PM- 04:45PM,114,WOLF 114,Stabley J,25,21
11210,MUS,464.801,Community Orchestra,1,LEC,T,06:30PM- 09:15PM,114,WOLF 114,Levi Z,20,0
11214,MUS,472.101,Percussion Ensemble,1,LEC,T R,02:00PM- 03:15PM,114,WOLF 114,Stabley J,15,14
11218,MUS,472.102,Percussion Ensemble,1,LEC,TO BE ARRANGED,TO BE ARRANGED,101,WOLF 101A,Godbole M,15,12
11222,MUS,476.101,Guitar Ensemble,1,LEC,TO BE ARRANGED,TO BE ARRANGED,325,WOLF 325,Fogleman M,15,13
11226,MUS,478.801,Rock Band,1,LEC,M,05:00PM- 06:15PM,112,WOLF 112,Young S,15,15
11258,MUS,486.101,Orchestrtn/Arrang,3,LEC,T R,12:30PM- 01:45PM,114,WOLF 114,Colonna J,25,10
11259,MUS,490.101,Choral Conducting,3,LEC,T R,09:30AM- 10:45AM,104,WOLF 104,Muzzo G,25,23
10596,ANT,210.101,Physical Anthropol,3,LEC,M W F,10:00AM- 10:50AM,305,LS 305,Brown K,20,14
10597,ANT,220.101,Cult Anthropology,3,LEC,M W,03:00PM- 04:15PM,128,LS 128,Clay-Robison S,30,12
10598,ANT,220.102,Cult Anthropology,3,LEC,T R,09:30AM- 10:45AM,405,WOLF 405,Clay-Robison S,30,8
10599,ANT,230.101,Intro Archaeology,3,LEC,M W F,11:00AM- 11:50AM,203,CH 203,Brown K,30,27
10600,ANT,300.801,Food and Culture,3,LEC,M W,05:00PM- 06:15PM,304,LS 304,Clay-Robison S,30,5
10601,ANT,392.101,Anthro/Medicine,3,LEC,T R,12:30PM- 01:45PM,128,LS 128,Brown K,30,26
10892,ITL,101.101,Elem Italian I,3,LEC,T R,02:00PM- 03:15PM,128,HUM 128,Gargotta A,25,19
10122,PMD,110.101,Famly Med Grand Rnd,1,LEC,R,08:00AM- 10:00AM,,HOS,Daly R,0,0
10123,PMD,120.101,Famly Med Grand Rnd,1,LEC,R,08:00AM- 10:00AM,,HOS,Daly R,0,0
10124,PMD,130.101,Emrg Med Grand Rnd,1,LEC,T,08:00AM- 10:00AM,,HOS,Stephens M,0,0
10125,PMD,140.101,Emrg Med Grand Rnd,1,LEC,T,08:00AM- 10:00AM,,HOS,Stephens M,0,0
10126,PMD,230.101,Clinical Shadow I,2,CLN,TO BE ARRANGED,TO BE ARRANGED,,HOS,Emrhein D,0,0
10127,PMD,310.801,Adv Human Anatomy,3,LEC,R,06:30PM- 09:15PM,,HOS,Monk J,0,0
10522,MGT,150.101,Prin of Management,3,LEC,M W F,08:00AM- 08:50AM,221,CH 221,Craven T,25,12
10523,MGT,150.102,Prin of Management,3,LEC,M W F,09:00AM- 09:50AM,221,CH 221,Craven T,25,17
10524,MGT,150.103,Prin of Management,3,LEC,M W F,10:00AM- 10:50AM,221,CH 221,Craven T,25,12
10525,MGT,150.104,Prin of Management,3,LEC,M W F,11:00AM- 11:50AM,225,WBC 225,March M,25,24
10526,MGT,150.105,Prin of Management,3,LEC,T R,09:30AM- 10:45AM,221,CH 221,Craven T,25,6
10527,MGT,150.106,Prin of Management,3,LEC,T R,11:00AM- 12:15PM,312,WOLF 312,O'Connell R,25,7
10528,MGT,150.107,Prin of Management,3,LEC,T R,12:30PM- 01:45PM,310,WBC 310,Meisenhelter M,25,13
10529,MGT,150.108,Prin of Management,3,LEC,T R,02:00PM- 03:15PM,403,WBC 403,Meisenhelter M,25,16
10530,MGT,150.801,Prin of Management,3,LEC,M,06:30PM- 09:15PM,140,HUM 140,Timmcke B,25,12
10531,MGT,220.101,Human Resource Mgt,3,LEC,M W,03:00PM- 04:15PM,225,WBC 225,Meisenhelter M,30,22
10532,MGT,225.101,Org Behavior,3,LEC,T R,12:30PM- 01:45PM,225,WBC 225,O'Donnell M,30,6
10533,MGT,225.102,Org Behavior,3,LEC,T R,02:00PM- 03:15PM,408,WBC 408,O'Donnell M,30,10
10534,MGT,305.101,Total Quality Mgmt,3,LEC,T R,09:30AM- 10:45AM,227,CH 227,Greisler D,30,6
10535,MGT,305.102,Total Quality Mgmt,3,LEC,T R,11:00AM- 12:15PM,314,WBC 314,Greisler D,30,20
10536,MGT,330.101,Labor Relations,3,LEC,T R,09:30AM- 10:45AM,310,WBC 310,Meisenhelter M,25,24
10537,MGT,380.101,Leadership/Change,3,LEC,T R,09:30AM- 10:45AM,225,WBC 225,Meisenhelter C,25,1
10538,MGT,380.102,Leadership/Change,3,LEC,T R,11:00AM- 12:15PM,225,WBC 225,Meisenhelter C,25,25
10539,MGT,410.101,Project Mgmt,3,LEC,T R,12:30PM- 01:45PM,309,WBC 309,Eddins W,25,7
10540,MGT,435.101,Recrtmnt/Sel/Dev,3,LEC,M W,03:00PM- 04:15PM,204,HUM 204,Brown S,25,15
10541,MGT,445.101,Ethical Leadership,3,LEC,M W,03:00PM- 04:15PM,229,CH 229,O'Donnell M,25,24
10481,IFS,100.101,Info Tech Competncy,0,MND,F,03:00PM- 03:50PM,304,WBC 304,Gilbert K,10,1
10483,IFS,105.101,Personal Computing,3,LEC,M W F,10:00AM- 10:50AM,185,PAC 185,Gilbert K,25,10
10484,IFS,105.102,Personal Computing,3,LEC,M W F,11:00AM- 11:50AM,185,PAC 185,Gilbert K,25,22
10485,IFS,105.103,Personal Computing,3,LEC,T R,08:00AM- 09:15AM,185,PAC 185,Souza M,25,17
10486,IFS,105.801,Personal Computing,3,LEC,T R,05:00PM- 06:15PM,185,PAC 185,Souza M,25,1
10487,IFS,105.802,Personal Computing,3,LEC,M,06:30PM- 09:15PM,185,PAC 185,Hamilton M,25,21
10488,IFS,105.803,Personal Computing,3,LEC,T,06:30PM- 09:15PM,185,PAC 185,Steckler D,25,19
10490,IFS,225.801,Program Bus Apps,3,LEC,M,06:30PM- 09:15PM,404,WBC 404,Lease R,25,11
10491,IFS,305.101,Management Info Sys,3,LEC,M W F,11:00AM- 11:50AM,310,WBC 310,Eddins W,25,9
10492,IFS,305.102,Management Info Sys,3,LEC,M W F,01:00PM- 01:50PM,310,WBC 310,Eddins W,25,22
10493,IFS,305.103,Management Info Sys,3,LEC,T R,08:00AM- 09:15AM,403,WBC 403,Hostler R,25,15
10494,IFS,305.104,Management Info Sys,3,LEC,T R,12:30PM- 01:45PM,403,WBC 403,Hostler R,25,24
10495,IFS,305.801,Management Info Sys,3,LEC,R,06:30PM- 09:15PM,310,WBC 310,Flickinger J,25,25
10496,IFS,320.101,Web Development,3,LEC,M W F,02:00PM- 02:50PM,309,WBC 309,Eddins W,25,19
10497,IFS,325.101,Intro Networks,3,LEC,T R,02:00PM- 03:15PM,314,WOLF 314,Hostler R,25,14
10498,IFS,425.101,E-Commerce,3,LEC,T R,09:30AM- 10:45AM,403,WBC 403,Hostler R,25,2
10036,BIO,112.101,Essentials of A & P,3,L/L,M W,09:00AM- 09:50AM,205,CH 205,Werner C,20,20
,,,,,,T,08:00AM- 10:45AM,201,LS 201,Rehnberg B,,0
10037,BIO,112.102,Essentials of A & P,3,L/L,M W,09:00AM- 09:50AM,205,CH 205,Werner C,20,14
,,,,,,T,11:00AM- 01:45PM,201,LS 201,,,0
10038,BIO,112.801,Essentials of A & P,3,L/L,M,06:30PM- 09:15PM,201,LS 201,Werner C,20,5
,,,,,,W,06:30PM- 08:10PM,205,CH 205,,,0
10039,BIO,142.101,Molecule/Gene/Cell,4,L/L,M W F,01:00PM- 01:50PM,228,CH 228,Boehmler W,20,16
,,,,,,T,11:00AM- 01:45PM,214,LS 214,,,0
10040,BIO,142.102,Molecule/Gene/Cell,4,L/L,M W,03:00PM- 04:15PM,223,CH 223,Botyrius A,20,10
,,,,,,R,02:00PM- 04:45PM,214,LS 214,,,0
10041,BIO,142.103,Molecule/Gene/Cell,4,L/L,T R,08:00AM- 09:15AM,223,CH 223,Higa M,20,2
,,,,,,W,11:00AM- 01:45PM,214,LS 214,,,0
10042,BIO,142.104,Molecule/Gene/Cell,4,L/L,T R,09:30AM- 10:45AM,223,CH 223,Higa M,20,1
,,,,,,R,11:00AM- 01:45PM,214,LS 214,,,0
10043,BIO,150.101,Intro Molecular Bio,4,LEC,M W F,08:00AM- 08:50AM,128,LS 128,Higa M,25,16
10044,BIO,150.102,Intro Molecular Bio,4,LEC,M W F,10:00AM- 10:50AM,125,LS 125,Boehmler W,25,25
10045,BIO,150.103,Intro Molecular Bio,4,LEC,M W F,11:00AM- 11:50AM,128,LS 128,Boehmler W,25,13
10046,BIO,150.104,Intro Molecular Bio,4,LEC,M W F,12:00PM- 12:50PM,228,CH 228,Boehmler W,25,16
10048,BIO,150.801,Intro Molecular Bio,4,LEC,T,06:30PM- 09:15PM,125,LS 125,Botyrius A,20,6
,,,,,,R,06:30PM- 09:15PM,239,LS 239,,,0
10049,BIO,151.501,Intro Mole Bio Lab,0,LAB,T,11:00AM- 01:45PM,239,LS 239,Botyrius A,20,12
10050,BIO,151.502,Intro Mole Bio Lab,0,LAB,R,11:00AM- 01:45PM,239,LS 239,Boehmler W,20,11
10052,BIO,151.503,Intro Mole Bio Lab,0,LAB,F,08:00AM- 10:45AM,239,LS 239,Thompson J,20,20
10053,BIO,151.504,Intro Mole Bio Lab,0,LAB,F,11:00AM- 01:45PM,239,LS 239,Higa M,20,14
10054,BIO,151.505,Intro Mole Bio Lab,0,LAB,F,02:00PM- 04:45PM,239,LS 239,Botyrius A,20,16
10055,BIO,152.101,Evol/Ecol & Divers,4,L/L,M W F,10:00AM- 10:50AM,236,CH 236,Nolan J,20,19
,,,,,,M,11:00AM- 01:45PM,108,NESC 108,,,0
10056,BIO,200.101,Intro Sci Rsrch,3,LEC,T R,02:00PM- 03:15PM,128,LS 128,Rehnberg B,20,15
10057,BIO,201.101,Medical Terminology,3,LEC,M W F,08:00AM- 08:50AM,203,CH 203,Werner C,20,5
10058,BIO,201.801,Medical Terminology,3,LEC,T,06:30PM- 09:15PM,203,CH 203,Werner C,20,1
10059,BIO,202.801,Pharmacology,1,LEC,W,05:00PM- 05:50PM,221,CH 221,Werner C,20,20
10060,BIO,204.101,Exploring Biology,3,L/L,M W,09:00AM- 09:50AM,127,LS 127,Hagerty B,20,11
,,,,,,W,11:00AM- 01:45PM,9,NESC 9,,,0
10061,BIO,204.102,Exploring Biology,3,L/L,M W,09:00AM- 09:50AM,302,CH 302,Wilt J,20,20
,,,,,,R,02:00PM- 04:45PM,9,NESC 9,,,0
10062,BIO,204.103,Exploring Biology,3,L/L,M W,10:00AM- 10:50AM,129,LS 129,Young G,20,9
,,,,,,T,02:00PM- 04:45PM,9,NESC 9,,,0
10063,BIO,204.104,Exploring Biology,3,L/L,M W,01:00PM- 01:50PM,125,LS 125,Staff,20,8
,,,,,,W,02:00PM- 04:45PM,9,NESC 9,,,0
10064,BIO,204.105,Exploring Biology,3,L/L,T R,08:00AM- 08:50AM,205,CH 205,Wilt J,20,6
,,,,,,R,11:00AM- 01:45PM,9,NESC 9,,,0
10065,BIO,204.106,Exploring Biology,3,L/L,T R,09:30AM- 10:20AM,140,HUM 140,Young G,20,14
,,,,,,T,11:00AM- 01:45PM,9,NESC 9,,,0
10067,BIO,220.101,Human A/P I,4,LEC,M W F,10:00AM- 10:50AM,317,WOLF 317,Hodgson E,25,14
10066,BIO,220.102,Human A/P I,4,LEC,M W,05:00PM- 06:15PM,223,CH 223,Georgi S,25,25
10068,BIO,220.103,Human A/P I,4,LEC,T R,08:00AM- 09:15AM,127,LS 127,Patton B,25,8
10069,BIO,220.104,Human A/P I,4,LEC,T R,09:30AM- 10:45AM,205,HUM 205,Georgi S,25,25
10070,BIO,221.501,Human A/P I Lab,0,LAB,R,08:00AM- 10:45AM,216,LS 216,Hodgson E,20,9
10071,BIO,221.502,Human A/P I Lab,0,LAB,R,11:00AM- 01:45PM,216,LS 216,Georgi S,20,6
10072,BIO,221.503,Human A/P I Lab,0,LAB,W,06:30PM- 09:15PM,216,LS 216,Hsiao E,20,10
10073,BIO,221.504,Human A/P I Lab,0,LAB,F,08:00AM- 10:45AM,216,LS 216,Patton B,20,3
10074,BIO,221.505,Human A/P I Lab,0,LAB,F,11:00AM- 01:45PM,216,LS 216,Georgi S,20,2
10075,BIO,222.101,Human A/P II,4,LEC,M W F,08:00AM- 08:50AM,317,WOLF 317,Hodgson E,24,7
10076,BIO,222.102,Human A/P II,4,LEC,M W F,09:00AM- 09:50AM,317,WOLF 317,Hodgson E,24,3
10077,BIO,222.103,Human A/P II,4,LEC,M W F,12:00PM- 12:50PM,125,LS 125,Patton B,24,14
10078,BIO,222.104,Human A/P II,4,LEC,M W F,01:00PM- 01:50PM,128,LS 128,Patton B,24,19
10079,BIO,222.105,Human A/P II,4,LEC,T R,02:00PM- 03:15PM,223,CH 223,Georgi S,24,2
10080,BIO,223.501,Hum A/P II Lab,0,LAB,M,11:00AM- 01:45PM,216,LS 216,Hodgson E,20,6
10081,BIO,223.502,Hum A/P II Lab,0,LAB,M,02:00PM- 04:45PM,216,LS 216,Patton B,20,8
10082,BIO,223.503,Hum A/P II Lab,0,LAB,T,08:00AM- 10:45AM,216,LS 216,Hodgson E,20,8
10083,BIO,223.504,Hum A/P II Lab,0,LAB,T,11:00AM- 01:45PM,216,LS 216,Patton B,20,13
10084,BIO,223.505,Hum A/P II Lab,0,LAB,W,08:00AM- 10:45AM,216,LS 216,Patton B,20,1
10085,BIO,223.506,Hum A/P II Lab,0,LAB,W,11:00AM- 01:45PM,216,LS 216,Hodgson E,20,16
10086,BIO,230.101,Microbio/Allied Hlth,4,LEC,M W F,09:00AM- 09:50AM,129,LS 129,Gray B,30,1
10087,BIO,230.102,Microbio/Allied Hlth,4,LEC,M W F,11:00AM- 11:50AM,232,CH 232,Singleton D,30,5
10088,BIO,230.103,Microbio/Allied Hlth,4,LEC,M W F,12:00PM- 12:50PM,231,CH 231,Singleton D,30,7
10089,BIO,230.104,Microbio/Allied Hlth,4,LEC,M W F,01:00PM- 01:50PM,103,CH 103,Singleton D,30,1
10090,BIO,231.501,Micro/Allied Lab,0,LAB,W,08:00AM- 10:45AM,211,LS 211,Singleton D,20,20
10091,BIO,231.502,Micro/Allied Lab,0,LAB,W,11:00AM- 01:45PM,211,LS 211,Gray B,20,14
10096,BIO,231.503,Micro/Allied Lab,0,LAB,W,06:30PM- 09:15PM,211,LS 211,Staff,20,19
10097,BIO,231.504,Micro/Allied Lab,0,LAB,R,08:00AM- 10:45AM,211,LS 211,Kaltreider R,20,10
10098,BIO,231.505,Micro/Allied Lab,0,LAB,R,11:00AM- 01:45PM,211,LS 211,Singleton D,20,8
10095,BIO,231.506,Micro/Allied Lab,0,LAB,R,06:30PM- 09:15PM,211,LS 211,Singleton D,20,10
10099,BIO,240.101,Genetics,4,LEC,M W F,08:00AM- 08:50AM,126,LS 126,Kaltreider R,20,16
10100,BIO,240.102,Genetics,4,LEC,M W F,09:00AM- 09:50AM,203,CH 203,Kaltreider R,20,0
10101,BIO,241.501,Genetics Lab,0,LAB,M,11:00AM- 01:45PM,235,LS 235,Kaltreider R,20,13
10102,BIO,241.502,Genetics Lab,0,LAB,F,11:00AM- 01:45PM,235,LS 235,Kaltreider R,20,19
10103,BIO,290.101,Biostatistics,3,LEC,T R,11:00AM- 12:15PM,39,LIBRY 39,Hagerty B,15,12
10104,BIO,290.102,Biostatistics,3,LEC,T R,12:30PM- 01:45PM,39,LIBRY 39,Hagerty B,15,11
10105,BIO,300.101,Ecology,4,L/L,T R,05:00PM- 06:15PM,223,CH 223,Kleiner K,18,4
,,,,,,W,11:00AM- 01:45PM,108,NESC 108,,,0
10106,BIO,304.101,Botany,4,L/L,T R,09:30AM- 10:45AM,125,LS 125,Kleiner K,15,14
,,,,,,T,11:00AM- 01:45PM,108,NESC 108,,,0
10107,BIO,308.101,Animal Physlgy,4,L/L,M W F,09:00AM- 09:50AM,126,LS 126,Rehnberg B,15,9
,,,,,,F,02:00PM- 04:45PM,115,LS 115,,,0
10108,BIO,324.101,Marine Ecol/Chesapk,4,L/L,T R,02:00PM- 03:15PM,125,LS 125,Nolan J,15,5
,,,,,,R,11:00AM- 01:45PM,108,NESC 108,,,0
10109,BIO,330.101,Microbiology,4,L/L,M W F,10:00AM- 10:50AM,310,WBC 310,Gray B,15,10
,,,,,,F,11:00AM- 01:45PM,211,LS 211,,,0
10110,BIO,350.101,Biochemistry I,4,LEC,T R,08:00AM- 09:15AM,236,CH 236,Thompson J,10,6
10111,BIO,350.102,Biochemistry I,4,LEC,T R,09:30AM- 10:45AM,129,LS 129,Thompson J,10,10
10112,BIO,350.103,Biochemistry I,4,LEC,T R,11:00AM- 12:15PM,236,CH 236,Thompson J,10,2
10113,BIO,351.501,Biochem I Lab,0,LAB,W,08:00AM- 10:45AM,235,LS 235,Thompson J,10,5
10114,BIO,351.502,Biochem I Lab,0,LAB,W,11:00AM- 01:45PM,235,LS 235,Thompson J,10,6
10115,BIO,351.503,Biochem I Lab,0,LAB,W,02:00PM- 04:45PM,235,LS 235,Thompson J,10,6
10116,BIO,390.101,Junior Thesis,2,LEC,M,02:00PM- 03:50PM,214,LS 214,Gray B,15,15
,,,,,,,,,,Nolan J,,0
10117,BIO,390.102,Junior Thesis,2,LEC,M,02:00PM- 03:50PM,235,LS 235,Kleiner K,15,13
,,,,,,,,,,Georgi S,,0
10118,BIO,400.101,Senior Thesis,1,LEC,M,02:00PM- 02:50PM,125,LS 125,Boehmler W,5,1
10119,BIO,400.102,Senior Thesis,1,LEC,M,02:00PM- 02:50PM,126,LS 126,Thompson J,5,0
10120,BIO,400.103,Senior Thesis,1,LEC,M,02:00PM- 02:50PM,127,LS 127,Hagerty B,5,2
10121,BIO,400.104,Senior Thesis,1,LEC,M,02:00PM- 02:50PM,128,LS 128,Higa M,5,1
10222,G,100.101,World Reg Geography,3,LEC,M W F,09:00AM- 09:50AM,143,HUM 143,Pomeroy J,25,4
10223,G,100.102,World Reg Geography,3,LEC,T R,11:00AM- 12:15PM,128,LS 128,Fyfe D,25,17
10224,G,100.103,World Reg Geography,3,LEC,T R,12:30PM- 01:45PM,142,HUM 142,White K,25,9
10226,G,100.104,World Reg Geography,3,LEC,T R,02:00PM- 03:15PM,142,HUM 142,White K,25,1
10233,G,151.101,Intro Physical Geo,3,L/L,M W,10:00AM- 10:50AM,130,HUM 130,Pomeroy J,18,10
,,,,,,M,02:00PM- 04:45PM,108,CH 108,,,0
10232,G,151.102,Intro Physical Geo,3,L/L,M W,10:00AM- 10:50AM,130,HUM 130,Pomeroy J,18,14
,,,,,,W,02:00PM- 04:45PM,108,CH 108,,,0
10228,G,261.101,Intro Geo Info Sys,3,LEC,M W F,11:00AM- 11:50AM,131,HUM 131,Pomeroy J,14,0
10229,G,261.801,Intro Geo Info Sys,3,LEC,W,06:30PM- 09:15PM,131,HUM 131,Pomeroy J,14,7
10231,G,352.101,Perspct/Sustainblty,3,LEC,T R,02:00PM- 03:15PM,127,LS 127,Fyfe D,25,11
11040,CM,104.101,Human Communicatn,3,LEC,M W F,10:00AM- 10:50AM,302,WOLF 302,Yohe S,25,20
11042,CM,104.102,Human Communicatn,3,LEC,M W F,10:00AM- 10:50AM,314,WOLF 314,Jenkins A,25,19
11043,CM,104.103,Human Communicatn,3,LEC,M W F,11:00AM- 11:50AM,314,WOLF 314,Jenkins A,25,23
11044,CM,104.104,Human Communicatn,3,LEC,M W F,12:00PM- 12:50PM,314,WOLF 314,Jenkins A,25,10
11046,CM,104.105,Human Communicatn,3,LEC,T R,12:30PM- 01:45PM,314,WOLF 314,Benton M,25,23
11048,CM,104.106,Human Communicatn,3,LEC,T R,03:30PM- 04:45PM,314,WOLF 314,Benton M,25,3
11052,CM,104.801,Human Communicatn,3,LEC,T R,05:00PM- 06:15PM,314,WOLF 314,Benton M,25,18
11055,CM,104.802,Human Communicatn,3,LEC,M,06:30PM- 09:15PM,127,HUM 127,Feeser M,25,19
11058,CM,104.803,Human Communicatn,3,LEC,T,06:30PM- 09:15PM,129,HUM 129,Schwienteck K,25,9
11060,CM,120.101,Broadcast Perform I,3,LEC,M W,02:00PM- 03:15PM,304,WOLF 304,Briggs L,16,8
11062,CM,120.102,Broadcast Perform I,3,LEC,T R,11:00AM- 12:15PM,304,WOLF 304,Briggs L,16,8
11064,CM,132.101,Radio Practicum I,1,PRA,T,03:30PM- 04:20PM,311,STU 311,Schiffman J,15,15
11066,CM,133.101,Radio Practicum II,1,PRA,T,03:30PM- 04:20PM,311,STU 311,Schiffman J,15,5
11067,CM,134.101,Radio Practicum III,1,PRA,R,03:30PM- 04:20PM,311,STU 311,Schiffman J,15,10
11068,CM,135.101,Radio Practicum IV,1,PRA,R,03:30PM- 04:20PM,311,STU 311,Schiffman J,15,1
11069,CM,150.801,Beg Sign Language,1,LEC,T,05:00PM- 06:15PM,405,WOLF 405,Himmelberger J,25,3
11070,CM,206.101,Communicatn Theory,3,LEC,M W F,10:00AM- 10:50AM,405,WOLF 405,Furio B,25,0
11071,CM,211.801,Mass Communication,3,LEC,M W,05:00PM- 06:15PM,302,WOLF 302,Schiffman J,25,2
11072,CM,212.101,Public Speaking,3,LEC,M W F,01:00PM- 01:50PM,405,WOLF 405,Furio B,20,11
11450,CM,212.801,Public Speaking,3,LEC,M W,05:00PM- 06:15PM,405,WOLF 405,Allen K,20,4
11451,CM,212.802,Public Speaking,3,LEC,W,06:30PM- 09:15PM,314,WOLF 314,Allen K,20,20
11073,CM,221.101,Intro Public Relatns,3,LEC,T R,08:00AM- 09:15AM,405,WOLF 405,Smith E,25,22
11074,CM,221.801,Intro Public Relatns,3,LEC,T,06:30PM- 09:15PM,405,WOLF 405,Myers J,25,15
11075,CM,225.101,Intro New Media,3,LEC,T R,12:30PM- 01:45PM,302,WOLF 302,Roberts J,25,5
,,,,,,T R,12:30PM- 01:45PM,186,PAC 186,,,0
11098,CM,226.101,Audio Productn,3,LEC,T R,02:00PM- 03:15PM,302,WOLF 302,Schiffman J,16,16
11099,CM,226.801,Audio Productn,3,LEC,T R,05:00PM- 06:15PM,302,WOLF 302,Schiffman J,16,16
11100,CM,226.802,Audio Productn,3,LEC,T R,05:00PM- 06:15PM,112,WOLF 112,Young S,16,13
11101,CM,242.101,Video Prodctn I,4,LEC,M W,08:00AM- 09:50AM,308,WOLF 308,Mott R,15,1
11102,CM,242.102,Video Prodctn I,4,LEC,M W,10:00AM- 11:50AM,308,WOLF 308,Mott R,15,10
