crn_number,subject,course_number,title,cred_number,typekey,days,times,lockey_number,lockey,instructor,seats_number,totenrl_number
10161,CHM,135.501,Gen Chem I Lab,0,LAB,T,08:00AM- 10:45AM,217,CH 217,Botterbusch M,20,14
10162,CHM,135.502,Gen Chem I Lab,0,LAB,T,11:00AM- 01:45PM,217,CH 217,Reynolds B,20,19
10163,CHM,135.503,Gen Chem I Lab,0,LAB,T,02:00PM- 04:45PM,217,CH 217,Taylor D,20,8
10164,CHM,135.504,Gen Chem I Lab,0,LAB,T,06:30PM- 09:15PM,217,CH 217,Taylor D,20,16
10165,CHM,135.505,Gen Chem I Lab,0,LAB,W,11:00AM- 01:45PM,217,CH 217,Peterman K,20,4
10166,CHM,135.506,Gen Chem I Lab,0,LAB,W,02:00PM- 04:45PM,217,CH 217,Glenwright W,20,16
10167,CHM,135.507,Gen Chem I Lab,0,LAB,W,06:30PM- 09:15PM,217,CH 217,Diller K,20,5
10168,CHM,135.508,Gen Chem I Lab,0,LAB,R,08:00AM- 10:45AM,217,CH 217,Staff,20,1
10169,CHM,135.509,Gen Chem I Lab,0,LAB,R,11:00AM- 01:45PM,217,CH 217,Taylor D,20,18
10170,CHM,135.510,Gen Chem I Lab,0,LAB,R,02:00PM- 04:45PM,217,CH 217,Glenwright W,20,19
10171,CHM,135.511,Gen Chem I Lab,0,LAB,F,08:00AM- 10:45AM,217,CH 217,Staff,20,12
10172,CHM,135.512,Gen Chem I Lab,0,LAB,F,11:00AM- 01:45PM,217,CH 217,Bolio A,20,15
10173,CHM,135.513,Gen Chem I Lab,0,LAB,F,02:00PM- 04:45PM,217,CH 217,Glenwright W,20,8
10174,CHM,136.101,Gen Chem II,4,LEC,T R,09:30AM- 10:45AM,107,CH 107,Peterman K,26,24
10175,CHM,136.102,Gen Chem II,4,LEC,T R,11:00AM- 12:15PM,103,CH 103,Peterman K,26,20
10176,CHM,137.501,Gen Chem II Lab,0,LAB,M,08:00AM- 10:45AM,217,CH 217,Taylor D,17,16
10177,CHM,137.502,Gen Chem II Lab,0,LAB,M,11:00AM- 01:45PM,217,CH 217,Staff,17,3
10178,CHM,137.503,Gen Chem II Lab,0,LAB,M,02:00PM- 04:45PM,217,CH 217,Glenwright W,18,5
10179,CHM,202.101,Chem/Society,3,LEC,M W,09:00AM- 09:50AM,103,CH 103,Peterman K,0,0
10180,CHM,203.501,Chem/Society Lab,0,LAB,TO BE ARRANGED,TO BE ARRANGED,,STUDY ABRD,Peterman K,0,0
10181,CHM,230.101,Chem Lit Colloquium,2,LEC,M W,09:00AM- 09:50AM,207,CH 207,Halligan K,12,0
10182,CHM,234.101,Organic Chem I,4,LEC,T R,08:00AM- 09:15AM,106,CH 106,Halligan K,24,24
10183,CHM,234.102,Organic Chem I,4,LEC,T R,09:30AM- 10:45AM,106,CH 106,Halligan K,24,9
10184,CHM,234.103,Organic Chem I,4,LEC,T R,11:00AM- 12:15PM,106,CH 106,Fautch J,24,8
10185,CHM,234.104,Organic Chem I,4,LEC,T R,12:30PM- 01:45PM,106,CH 106,Fautch J,24,11
